parameter,mean,lower,upper,coefficient_index,term,label
beta[1],-2.53929000175447,-2.7457088869997395,-2.335753234796259,1,(Intercept),Intercept
beta[2],0.3654363030285851,0.20720437088336063,0.5270821035295342,2,animal_typedog,Animal: Dog
beta[3],1.723924370585733,1.0891920666145063,2.347393650914801,3,animal_typeguinea pig,Animal: Guinea pig
beta[4],-0.9029218067836108,-1.3080525685311588,-0.510115583380033,4,animal_typerabbit,Animal: Rabbit
beta[5],1.8249098586032988,0.6648752209698021,2.8958248345962425,5,animal_typereptile,Animal: Reptile
beta[6],-0.19207517126323959,-0.41733426346165037,0.03531037666102948,6,sexMale,Sex/status: Male
beta[7],2.648598561591804,2.451511586462371,2.847226370744997,7,sexNeutered,Sex/status: Neutered
beta[8],2.6031321426003666,2.3989416723727364,2.8067405456477803,8,sexSpayed,Sex/status: Spayed
beta[9],-2.902629776046267,-4.102628535589269,-1.942392949801333,9,sexUnknown,Sex/status: Unknown
beta[10],-2.487084624627235,-3.359805446188614,-1.7474073712015366,10,intake_conditionferal,Condition: Feral
beta[11],-1.6349901697567732,-2.111262075272101,-1.1901495958182837,11,intake_conditionfractious,Condition: Fractious
beta[12],0.20669331289594278,-0.1016612914701425,0.5168765786982075,12,intake_conditionill mild,Condition: Ill mild
beta[13],-0.2784855204544235,-0.7106984659384119,0.15135755862777087,13,intake_conditionill moderate,Condition: Ill moderate
beta[14],-0.4979434714527223,-1.089685003091355,0.041883804913871385,14,intake_conditionill severe,Condition: Ill severe
beta[15],0.3508310916455239,-0.018529234130281957,0.714118211063338,15,intake_conditioninjured mild,Condition: Injured mild
beta[16],-0.5613868613126811,-1.041738643141732,-0.10624433852682162,16,intake_conditioninjured moderate,Condition: Injured moderate
beta[17],-1.1020560733223541,-1.6617826227503887,-0.6004648855198471,17,intake_conditioninjured severe,Condition: Injured severe
beta[18],-0.2006892728700155,-0.5952100311738293,0.17685113468678695,18,intake_conditionother,Condition: Other
beta[19],0.04086248075146307,-0.1603259099721126,0.24388140408666814,19,intake_conditionunder age/weight,Condition: Under age/weight
beta[20],-0.8568690823550501,-1.4607385886352036,-0.31421187184682015,20,intake_typeconfiscate,Intake: Confiscate
beta[21],-2.061196626901054,-3.155180221803579,-1.1387818196673125,21,intake_typeother,Intake: Other
beta[22],0.21919667001330087,0.012798884443895762,0.42257188087958153,22,intake_typeowner surrender,Intake: Owner surrender
beta[23],1.0747491295967748,0.5444642392342692,1.6304123607759962,23,intake_typereturn,Intake: Return
beta[24],0.35082106012432884,-0.07852885744776997,0.7834879566449557,24,intake_typewelfare seized,Intake: Welfare seized
beta[25],-0.688011264682369,-0.7752517436801061,-0.6005250207663059,25,age_scaled,Age at intake
