animal_type,sex,intake_condition,intake_type,age_years,age_scaled,mean,lower,upper,profile
cat,Female,normal,stray,0.999315537303217,-0.42169587048230944,0.09577962768746202,0.07950625864868369,0.11393612858831818,Cat | Female
cat,Spayed,normal,stray,0.999315537303217,-0.42169587048230944,0.587448345135882,0.5496932135047754,0.6250910236577956,Cat | Spayed
dog,Female,normal,stray,0.999315537303217,-0.42169587048230944,0.13236907414241267,0.11137862050058882,0.15529917871811874,Dog | Female
dog,Spayed,normal,stray,0.999315537303217,-0.42169587048230944,0.6722012437883674,0.6350364562954204,0.7077192957464634,Dog | Spayed
rabbit,Female,normal,stray,0.999315537303217,-0.42169587048230944,0.041871461433544144,0.027213331605020805,0.06137389725515026,Rabbit | Female
rabbit,Spayed,normal,stray,0.999315537303217,-0.42169587048230944,0.36736729438861726,0.28026201684678825,0.45982720419575013,Rabbit | Spayed
guinea pig,Female,normal,stray,0.999315537303217,-0.42169587048230944,0.3744964327265753,0.24117888560882308,0.5189081027178326,Guinea Pig | Female
guinea pig,Spayed,normal,stray,0.999315537303217,-0.42169587048230944,0.8846730181137764,0.8070829869496481,0.9372831377582923,Guinea Pig | Spayed
reptile,Female,normal,stray,0.999315537303217,-0.42169587048230944,0.40291173531392127,0.16840447241965517,0.6579940986199552,Reptile | Female
reptile,Spayed,normal,stray,0.999315537303217,-0.42169587048230944,0.8865632338124614,0.7326413233368424,0.9636636776630864,Reptile | Spayed
